name,manufacturer,tdp,cores,frequency,total_die_size,gwp_embedded,gwp_use,gwp_total,pe_embedded,pe_use,pe_total,adp_embedded,adp_use,adp_total
AMD A6-3600,AMD,65.0,4.0,2.1,228.0,12.7,600.0,612.7,200.0,20000.0,20200.0,0.0204,0.00011,0.02051
AMD A6-3620,AMD,65.0,4.0,2.2,228.0,12.7,600.0,612.7,200.0,20000.0,20200.0,0.0204,0.00011,0.02051
AMD A6-3650,AMD,100.0,4.0,2.6,228.0,12.7,1000.0,1012.7,200.0,30000.0,30200.0,0.0204,0.00017,0.02057
AMD A6-3670K,AMD,100.0,4.0,2.7,228.0,12.7,1000.0,1012.7,200.0,30000.0,30200.0,0.0204,0.00017,0.02057
AMD A6-4400M,AMD,35.0,2.0,2.7,246.0,17.0,300.0,317.0,260.0,10000.0,10260.0,0.0204,6e-05,0.020460000000000002
AMD A6-4455M,AMD,17.0,2.0,2.1,246.0,17.0,170.0,187.0,260.0,10000.0,10260.0,0.0204,3e-05,0.02043
AMD A6-5200,AMD,25.0,4.0,2.0,107.0,12.7,250.0,262.7,200.0,10000.0,10200.0,0.0204,4e-05,0.02044
AMD A6-5345M,AMD,17.0,2.0,2.2,246.0,17.0,170.0,187.0,260.0,10000.0,10260.0,0.0204,3e-05,0.02043
AMD A6-5350M,AMD,35.0,2.0,2.9,246.0,17.0,300.0,317.0,260.0,10000.0,10260.0,0.0204,6e-05,0.020460000000000002
AMD A6-5357M,AMD,35.0,2.0,2.9,246.0,17.0,300.0,317.0,260.0,10000.0,10260.0,0.0204,6e-05,0.020460000000000002
AMD A6-5400B,AMD,65.0,2.0,3.6,246.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A6-5400K,AMD,65.0,2.0,3.6,246.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A6-6400B,AMD,65.0,2.0,3.9,246.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A6-6400K,AMD,65.0,2.0,3.9,246.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A6-6420K,AMD,65.0,2.0,4.0,246.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A6-7400K,AMD,65.0,2.0,3.5,245.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A6-7470K,AMD,65.0,2.0,3.7,245.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A6-7480,AMD,45.0,2.0,3.5,250.0,17.0,400.0,417.0,260.0,20000.0,20260.0,0.0204,8e-05,0.02048
AMD A6-9120C SoC,AMD,6.0,2.0,1.6,124.0,17.0,60.0,77.0,260.0,2000.0,2260.0,0.0204,1e-05,0.02041
AMD A6-9220C SoC,AMD,6.0,2.0,1.8,124.0,17.0,60.0,77.0,260.0,2000.0,2260.0,0.0204,1e-05,0.02041
AMD A6-9400,AMD,65.0,2.0,3.4,250.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A6-9500,AMD,65.0,2.0,3.5,250.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A6-9500E,AMD,35.0,2.0,3.0,250.0,17.0,300.0,317.0,260.0,10000.0,10260.0,0.0204,6e-05,0.020460000000000002
AMD A6-9550,AMD,65.0,2.0,3.8,250.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A8 PRO-7600B,AMD,65.0,4.0,3.1,245.0,12.7,600.0,612.7,200.0,20000.0,20200.0,0.0204,0.00011,0.02051
AMD A8-3500M,AMD,35.0,4.0,1.5,228.0,12.7,300.0,312.7,200.0,10000.0,10200.0,0.0204,6e-05,0.020460000000000002
AMD A8-3510MX,AMD,45.0,4.0,1.8,228.0,12.7,400.0,412.7,200.0,20000.0,20200.0,0.0204,8e-05,0.02048
AMD A8-3520M,AMD,35.0,4.0,1.6,228.0,12.7,300.0,312.7,200.0,10000.0,10200.0,0.0204,6e-05,0.020460000000000002
AMD A8-3530MX,AMD,45.0,4.0,1.9,228.0,12.7,400.0,412.7,200.0,20000.0,20200.0,0.0204,8e-05,0.02048
AMD A8-3550MX,AMD,45.0,4.0,2.0,228.0,12.7,400.0,412.7,200.0,20000.0,20200.0,0.0204,8e-05,0.02048
AMD A8-3800,AMD,65.0,4.0,2.4,228.0,12.7,600.0,612.7,200.0,20000.0,20200.0,0.0204,0.00011,0.02051
AMD A8-3820,AMD,65.0,4.0,2.5,228.0,12.7,600.0,612.7,200.0,20000.0,20200.0,0.0204,0.00011,0.02051
AMD A8-3850,AMD,100.0,4.0,2.9,228.0,12.7,1000.0,1012.7,200.0,30000.0,30200.0,0.0204,0.00017,0.02057
AMD A8-3870K,AMD,100.0,4.0,3.0,228.0,12.7,1000.0,1012.7,200.0,30000.0,30200.0,0.0204,0.00017,0.02057
AMD A8-4500M,AMD,35.0,4.0,1.9,246.0,12.7,300.0,312.7,200.0,10000.0,10200.0,0.0204,6e-05,0.020460000000000002
AMD A8-4555M,AMD,19.0,4.0,1.6,246.0,12.7,190.0,202.7,200.0,10000.0,10200.0,0.0204,3e-05,0.02043
AMD A8-5500,AMD,65.0,4.0,3.2,246.0,12.7,600.0,612.7,200.0,20000.0,20200.0,0.0204,0.00011,0.02051
AMD A8-5500B,AMD,65.0,4.0,3.2,246.0,12.7,600.0,612.7,200.0,20000.0,20200.0,0.0204,0.00011,0.02051
AMD A8-5545M,AMD,25.0,4.0,1.7,246.0,12.7,250.0,262.7,200.0,10000.0,10200.0,0.0204,4e-05,0.02044
AMD A8-5550M,AMD,35.0,4.0,2.1,246.0,12.7,300.0,312.7,200.0,10000.0,10200.0,0.0204,6e-05,0.020460000000000002
